This Is the End,09/27/13,10:00 PM,09/27/13,10:00 PM,False,http://cinema.cornell.edu/Fall2013/this_is_the_end.html,,http://www.youtube.com/watch?v=Yma-g4gTwlE
Lolita,09/28/13,7:00 PM,09/28/13,7:00 PM,False,http://cinema.cornell.edu/Fall2013/lolita.html,,http://www.youtube.com/watch?v=zRVqgvW8100
This Is the End,09/28/13,10:00 PM,09/28/13,10:00 PM,False,http://cinema.cornell.edu/Fall2013/this_is_the_end.html,,http://www.youtube.com/watch?v=Yma-g4gTwlE
Before Sunset,09/29/13,5:00 PM,09/29/13,6:20 PM,False,http://cinema.cornell.edu/Fall2013/before_sunset.html,,http://www.youtube.com/watch?v=XvFosXeqmDg
Before Midnight,09/29/13,7:15 PM,09/29/13,9:04 PM,False,http://cinema.cornell.edu/Fall2013/before_midnight.html,,http://www.youtube.com/watch?v=euOJkb0U8vE
These Amazing Shadows,10/02/13,7:00 PM,10/02/13,8:28 PM,False,http://cinema.cornell.edu/Fall2013/these_amazing_shadows.html,,http://www.youtube.com/watch?v=ea2tcWC2k0c
Before Midnight,10/02/13,9:00 PM,10/02/13,9:00 PM,False,http://cinema.cornell.edu/Fall2013/before_midnight.html,,http://www.youtube.com/watch?v=euOJkb0U8vE
Museum Hours,10/03/13,7:00 PM,10/03/13,8:47 PM,False,http://cinema.cornell.edu/Fall2013/museum_hours.html,,http://www.youtube.com/watch?v=MqctCwhunjE
The Heat,10/03/13,10:00 PM,10/03/13,11:57 PM,False,http://cinema.cornell.edu/Fall2013/heat.html,,http://www.youtube.com/watch?v=n9BcSQIoBWE
Voyage to Italy,10/04/13,7:15 PM,10/04/13,8:40 PM,False,http://cinema.cornell.edu/Fall2013/voyage_to_italy.html,,http://www.youtube.com/watch?v=jXsLZcU40QA
Herb & Dorothy 50x50,10/04/13,9:15 PM,10/04/13,10:42 PM,False,http://cinema.cornell.edu/Fall2013/herb__dorothy_50x50.html,Cinemapolis (downtown),http://www.youtube.com/watch?v=eQ9iPGcY8DM
The Heat,10/04/13,9:30 PM,10/04/13,9:30 PM,False,http://cinema.cornell.edu/Fall2013/heat.html,,http://www.youtube.com/watch?v=n9BcSQIoBWE
Becoming Traviata,10/05/13,7:15 PM,10/05/13,9:15 PM,False,http://cinema.cornell.edu/Fall2013/becoming_traviata.html,,http://www.youtube.com/watch?v=Sq6ffF8QLsQ
