Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Trailer
Hockney,10/7/2016,7:00 PM,10/7/2016,8:52 PM,False,http://cinema.cornell.edu/Fall2016/hockney.html,,http://www.youtube.com/watch?v=TUsjBK3q58k
Hunt for the Wilderpeople,10/7/2016,9:30 PM,10/7/2016,11:03 PM,False,http://cinema.cornell.edu/Fall2016/hunt_for_the_wilderpeople.html,,http://www.youtube.com/watch?v=tICv8QH3oM0
Eva Hesse,10/8/2016,7:00 PM,10/8/2016,8:48 PM,False,http://cinema.cornell.edu/Fall2016/eva_hesse.html,,http://www.youtube.com/watch?v=aov6R8qmf10
Hunt for the Wilderpeople,10/8/2016,9:30 PM,10/8/2016,11:03 PM,False,http://cinema.cornell.edu/Fall2016/hunt_for_the_wilderpeople.html,,http://www.youtube.com/watch?v=tICv8QH3oM0
Hockney,10/11/2016,7:15 PM,10/11/2016,9:07 PM,False,http://cinema.cornell.edu/Fall2016/hockney.html,,http://www.youtube.com/watch?v=TUsjBK3q58k
I Knew Her Well,10/12/2016,7:00 PM,10/12/2016,8:55 PM,False,http://cinema.cornell.edu/Fall2016/i_knew_her_well.html,,http://www.youtube.com/watch?v=_xt2jIx5IEM
Ouija: Origin of Evil ,10/12/2016,9:30 PM,10/12/2016,11:09 PM,False,http://cinema.cornell.edu/Fall2016/ouija.html,,http://www.youtube.com/watch?v=MJIcZGEjjwo
Ixcanul,10/13/2016,7:15 PM,10/13/2016,8:46 PM,False,http://cinema.cornell.edu/Fall2016/ixcanul.html,,http://www.youtube.com/watch?v=EJfvKnLPqFM
Nosferatu,10/13/2016,7:30 PM,10/13/2016,8:58 PM,False,http://cinema.cornell.edu/Fall2016/nosferatu.html,Sage Chapel,http://www.youtube.com/watch?v=6vSEUVo-OW0
Jason Bourne,10/13/2016,9:15 PM,10/13/2016,11:18 PM,False,http://cinema.cornell.edu/Fall2016/jason_bourne.html,,http://www.youtube.com/watch?v=F4gJsKZvqE4
Chevalier,10/14/2016,7:15 PM,10/14/2016,8:54 PM,False,http://cinema.cornell.edu/Fall2016/chevalier.html,,http://www.youtube.com/watch?v=FZckUiocInM
Jason Bourne,10/14/2016,9:30 PM,10/14/2016,11:33 PM,False,http://cinema.cornell.edu/Fall2016/jason_bourne.html,,http://www.youtube.com/watch?v=F4gJsKZvqE4
Ixcanul,10/15/2016,7:15 PM,10/15/2016,8:46 PM,False,http://cinema.cornell.edu/Fall2016/ixcanul.html,,http://www.youtube.com/watch?v=EJfvKnLPqFM
Jason Bourne,10/15/2016,9:15 PM,10/15/2016,11:18 PM,False,http://cinema.cornell.edu/Fall2016/jason_bourne.html,,http://www.youtube.com/watch?v=F4gJsKZvqE4
A.K.,10/16/2016,5:15 PM,10/16/2016,6:27 PM,False,http://cinema.cornell.edu/Fall2016/ak.html,,
Chevalier,10/16/2016,7:00 PM,10/16/2016,8:39 PM,False,http://cinema.cornell.edu/Fall2016/chevalier.html,,http://www.youtube.com/watch?v=FZckUiocInM
Citizen Koch,10/17/2016,6:45 PM,10/17/2016,8:15 PM,False,http://cinema.cornell.edu/Fall2016/citizen_koch.html,,http://vimeo.com/66463890
House of Bamboo,10/17/2016,9:15 PM,10/17/2016,10:57 PM,False,http://cinema.cornell.edu/Fall2016/house_of_bamboo.html,,http://www.youtube.com/watch?v=q15snLVppJ8
Where to Invade Next,10/18/2016,7:00 PM,10/18/2016,8:50 PM,False,http://cinema.cornell.edu/Fall2016/where_to_invade_next.html,,http://www.youtube.com/watch?list=PL_ducajNXtoxmjPiCdUTgbaxQJmAG7Jmw&v=r4JJvfrkH3M
A.K.,10/19/2016,5:00 PM,10/19/2016,6:12 PM,False,http://cinema.cornell.edu/Fall2016/ak.html,,
Ran,10/19/2016,7:00 PM,10/19/2016,9:41 PM,False,http://cinema.cornell.edu/Fall2016/ran.html,,http://vimeo.com/24801878
Café Society,10/20/2016,7:15 PM,10/20/2016,8:51 PM,False,http://cinema.cornell.edu/Fall2016/cafe_society.html,,http://www.youtube.com/watch?v=-1yDgVpHH8U
Blood Simple,10/20/2016,9:20 PM,10/20/2016,10:57 PM,False,http://cinema.cornell.edu/Fall2016/blood_simple.html,,http://vimeo.com/170979163
The Secret Life of Pets,10/21/2016,7:00 PM,10/21/2016,8:30 PM,False,http://cinema.cornell.edu/Fall2016/secret_life_of_pets.html,,http://www.youtube.com/watch?time_continue=2&v=eWI_Jsw9qUs
Ran,10/21/2016,9:00 PM,10/21/2016,11:41 PM,False,http://cinema.cornell.edu/Fall2016/ran.html,,http://vimeo.com/24801878
The Secret Life of Pets,10/22/2016,2:00 PM,10/22/2016,3:30 PM,False,http://cinema.cornell.edu/Fall2016/secret_life_of_pets.html,,http://www.youtube.com/watch?time_continue=2&v=eWI_Jsw9qUs
Blood Simple,10/22/2016,7:15 PM,10/22/2016,8:52 PM,False,http://cinema.cornell.edu/Fall2016/blood_simple.html,,http://vimeo.com/170979163
Café Society,10/22/2016,9:20 PM,10/22/2016,10:56 PM,False,http://cinema.cornell.edu/Fall2016/cafe_society.html,,http://www.youtube.com/watch?v=-1yDgVpHH8U
The Secret Life of Pets,10/23/2016,4:30 PM,10/23/2016,6:00 PM,False,http://cinema.cornell.edu/Fall2016/secret_life_of_pets.html,,http://www.youtube.com/watch?time_continue=2&v=eWI_Jsw9qUs
Café Society,10/23/2016,7:15 PM,10/23/2016,8:51 PM,False,http://cinema.cornell.edu/Fall2016/cafe_society.html,,http://www.youtube.com/watch?v=-1yDgVpHH8U
Seoul Searching,10/24/2016,7:00 PM,10/24/2016,8:45 PM,False,http://cinema.cornell.edu/Fall2016/seoul_searching.html,,http://www.youtube.com/watch?v=-AQGDxCS-64
Bad Rap,10/25/2016,7:00 PM,10/25/2016,8:22 PM,False,http://cinema.cornell.edu/Fall2016/bad_rap.html,,
Evening with Media Artist Jesse McLean,10/26/2016,7:15 PM,10/26/2016,8:27 PM,False,http://cinema.cornell.edu/Fall2016/evening_with_media_artist_jesse.html,,http://vimeo.com/130942011
Destiny,10/27/2016,7:00 PM,10/27/2016,8:38 PM,False,http://cinema.cornell.edu/Fall2016/destiny.html,,http://www.youtube.com/watch?v=azb9baY3Zp4
Suicide Squad,10/27/2016,9:30 PM,10/27/2016,11:33 PM,False,http://cinema.cornell.edu/Fall2016/suicide_squad.html,,http://www.youtube.com/watch?v=m0Xb9BhfVjY
The Innocents,10/28/2016,7:00 PM,10/28/2016,8:55 PM,False,http://cinema.cornell.edu/Fall2016/innocents.html,,http://www.youtube.com/watch?v=JEeEekaqFiQ
Suicide Squad,10/28/2016,9:30 PM,10/28/2016,11:33 PM,False,http://cinema.cornell.edu/Fall2016/suicide_squad.html,,http://www.youtube.com/watch?v=m0Xb9BhfVjY
The Best of the Fest: Shorts from the NY International Children’s Film Festival,10/29/2016,2:00 PM,10/29/2016,3:00 PM,False,http://cinema.cornell.edu/Fall2016/best_of_the_fest_shorts_from_the.html,,
The Rocky Horror Picture Show,10/29/2016,8:15 PM,10/29/2016,9:56 PM,False,http://cinema.cornell.edu/Fall2016/rocky_horror_picture_show.html,,http://www.youtube.com/watch?v=4plqh6obZW4
The Innocents,10/30/2016,4:30 PM,10/30/2016,6:25 PM,False,http://cinema.cornell.edu/Fall2016/innocents.html,,http://www.youtube.com/watch?v=JEeEekaqFiQ
Suicide Squad,10/30/2016,7:00 PM,10/30/2016,9:03 PM,False,http://cinema.cornell.edu/Fall2016/suicide_squad.html,,http://www.youtube.com/watch?v=m0Xb9BhfVjY
Spirits’ Homecoming,10/31/2016,6:15 PM,10/31/2016,8:22 PM,False,http://cinema.cornell.edu/Fall2016/spirits_homecoming.html,,http://www.youtube.com/watch?v=14l4l9GNrss
The Rocky Horror Picture Show,10/31/2016,9:15 PM,10/31/2016,10:56 PM,False,http://cinema.cornell.edu/Fall2016/rocky_horror_picture_show.html,,http://www.youtube.com/watch?v=4plqh6obZW4
The Decline of Western Civilization,11/1/2016,7:00 PM,11/1/2016,8:40 PM,False,http://cinema.cornell.edu/Fall2016/decline_of_western_civilization.html,,http://www.youtube.com/watch?v=aiCTq_AHcqw
Shirley: Visions of Reality,11/2/2016,7:00 PM,11/2/2016,8:32 PM,False,http://cinema.cornell.edu/Fall2016/shirley_visions_of_reality.html,,http://vimeo.com/80147967
L’Inhumaine,11/3/2016,7:00 PM,11/3/2016,9:02 PM,False,http://cinema.cornell.edu/Fall2016/inhumaine.html,,https://vimeo.com/154105807
Varieté,11/4/2016,7:00 PM,11/4/2016,8:30 PM,False,http://cinema.cornell.edu/Fall2016/variete.html,,http://www.youtube.com/watch?v=5fHEEKqnMbw
Man with a Movie Camera,11/4/2016,9:15 PM,11/4/2016,10:22 PM,False,http://cinema.cornell.edu/Fall2016/man_with_a_movie_camera.html,,http://vimeo.com/97610849
PuppHitz Presents: Heather Henson’s Puppet Dreams: a Puppet Film Festival,11/5/2016,2:00 PM,11/5/2016,3:00 PM,False,http://cinema.cornell.edu/Fall2016/pupphitz_presents_heather_henson.html,,
Metropolis,11/5/2016,7:15 PM,11/5/2016,9:42 PM,False,http://cinema.cornell.edu/Fall2016/metropolis.html,,https://vimeo.com/11191008
Tess,11/6/2016,3:30 PM,11/6/2016,6:20 PM,False,http://cinema.cornell.edu/Fall2016/tess.html,,http://www.youtube.com/watch?v=lpWLhVkZb-g
Sonic Sea,11/7/2016,7:00 PM,11/7/2016,7:56 PM,False,http://cinema.cornell.edu/Fall2016/sonic_sea.html,,http://www.youtube.com/watch?v=T-jabL64UZE
Foolish Village,11/8/2016,5:00 PM,11/8/2016,6:14 PM,False,http://cinema.cornell.edu/Fall2016/foolish_village.html,,
A True Believer,11/8/2016,7:15 PM,11/8/2016,8:35 PM,False,http://cinema.cornell.edu/Fall2016/true_believer.html,,
Self-Portrait: Dying at 47 KM,11/9/2016,5:00 PM,11/9/2016,6:17 PM,False,http://cinema.cornell.edu/Fall2016/selfportrait_dying_at_47_km.html,,
Investigating My Father,11/9/2016,7:15 PM,11/9/2016,8:35 PM,False,http://cinema.cornell.edu/Fall2016/investigating_my_father.html,,
