Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Trailer
Reservoir Dogs,3/12/2014,9:30 PM,3/12/2014,11:15 PM,False,http://cinema.cornell.edu/Spring2014/reservoir_dogs.html,,http://www.youtube.com/watch?v=QvoKT481EmU
Colors of Math,3/13/2014,7:00 PM,3/13/2014,8:00 PM,False,http://cinema.cornell.edu/Spring2014/colors_of_math.html,,http://www.youtube.com/watch?v=f7p5PdN-vbE
Russian Ark,3/13/2014,8:45 PM,3/13/2014,10:21 PM,False,http://cinema.cornell.edu/Spring2014/russian_ark.html,,http://www.youtube.com/watch?v=J--TDEHizVA
In Bloom,3/14/2014,7:15 PM,3/14/2014,8:57 PM,False,http://cinema.cornell.edu/Spring2014/in_bloom.html,,http://www.youtube.com/watch?v=zNbIHlnTO_U
The Hobbit: The Desolation of Smaug,3/14/2014,9:30 PM,3/14/2014,12:20 PM,False,http://cinema.cornell.edu/Spring2014/hobbit_the_desolation_of.html,,http://www.youtube.com/watch?v=Os1G8RtqY2c
Frozen,3/15/2014,2:00 PM,3/15/2014,3:48 PM,False,http://cinema.cornell.edu/Spring2014/frozen.html,,http://www.youtube.com/watch?v=TbQm5doF_Uc
Russian Ark,3/15/2014,7:15 PM,3/15/2014,8:51 PM,False,http://cinema.cornell.edu/Spring2014/russian_ark.html,,http://www.youtube.com/watch?v=J--TDEHizVA
Reservoir Dogs,3/15/2014,9:30 PM,3/15/2014,11:15 PM,False,http://cinema.cornell.edu/Spring2014/reservoir_dogs.html,,http://www.youtube.com/watch?v=QvoKT481EmU
Beautifully Broken: The Life and Work of Rafael Goldchain,3/16/2014,11:00 AM,3/16/2014,11:54 PM,False,http://cinema.cornell.edu/Spring2014/beautifully_broken_the_l.html,,http://www.youtube.com/watch?v=xQK4M9JJME0
The Hobbit: The Desolation of Smaug,3/16/2014,4:00 PM,3/16/2014,6:50 PM,False,http://cinema.cornell.edu/Spring2014/hobbit_the_desolation_of.html,,http://www.youtube.com/watch?v=Os1G8RtqY2c
The Hobbit: The Desolation of Smaug,3/16/2014,7:15 PM,3/16/2014,10:05 PM,False,http://cinema.cornell.edu/Spring2014/hobbit_the_desolation_of.html,,http://www.youtube.com/watch?v=Os1G8RtqY2c
The Conversation,3/18/2014,7:30 PM,3/18/2014,9:23 PM,False,http://cinema.cornell.edu/Spring2014/conversation.html,,http://www.youtube.com/watch?v=maBQXZvovlo
Particle Fever,3/19/2014,7:00 PM,3/19/2014,8:37 PM,False,http://cinema.cornell.edu/Spring2014/particle_fever.html,,http://www.youtube.com/watch?v=NnGc8HYoSHU
Anchorman 2: The Legend Continues,3/19/2014,9:30 PM,3/19/2014,11:29 PM,False,http://cinema.cornell.edu/Spring2014/anchorman_2_the_legend_c.html,,http://www.youtube.com/watch?v=6VdGI5-z_hg
The Missing Picture,3/20/2014,7:00 PM,3/20/2014,8:30 PM,False,http://cinema.cornell.edu/Spring2014/missing_picture.html,,http://www.youtube.com/watch?v=lzvVRtbA70s
Anchorman 2: The Legend Continues,3/20/2014,9:30 PM,3/20/2014,11:29 PM,False,http://cinema.cornell.edu/Spring2014/anchorman_2_the_legend_c.html,,http://www.youtube.com/watch?v=6VdGI5-z_hg
Amélie,3/22/2014,8:30 PM,3/22/2014,10:31 PM,False,http://cinema.cornell.edu/Spring2014/amelie.html,,http://www.youtube.com/watch?v=HEFrLnS5sQY
The Miners’ Hymns,3/25/2014,7:30 PM,3/25/2014,8:22 PM,False,http://cinema.cornell.edu/Spring2014/miners_hymns.html,Sage Chapel,http://www.youtube.com/watch?v=DUk4kKWcmGs
The Punk Singer,3/26/2014,7:15 PM,3/26/2014,8:35 PM,False,http://cinema.cornell.edu/Spring2014/punk_singer.html,,http://www.youtube.com/watch?v=fwrXC5OXqgc
Anchorman 2: The Legend Continues,3/26/2014,9:15 PM,3/26/2014,11:14 PM,False,http://cinema.cornell.edu/Spring2014/anchorman_2_the_legend_c.html,,http://www.youtube.com/watch?v=6VdGI5-z_hg
The Broken Circle Breakdown,3/27/2014,7:00 PM,3/27/2014,8:51 PM,False,http://cinema.cornell.edu/Spring2014/broken_circle_breakdown.html,,http://www.youtube.com/watch?v=3a50DJkCxqw
Anchorman 2: The Legend Continues,3/27/2014,9:30 PM,3/27/2014,11:29 PM,False,http://cinema.cornell.edu/Spring2014/anchorman_2_the_legend_c.html,,http://www.youtube.com/watch?v=6VdGI5-z_hg
The Broken Circle Breakdown,3/28/2014,7:00 PM,3/28/2014,8:51 PM,False,http://cinema.cornell.edu/Spring2014/broken_circle_breakdown.html,,http://www.youtube.com/watch?v=3a50DJkCxqw
The Punk Singer,3/28/2014,9:30 PM,3/28/2014,10:50 PM,False,http://cinema.cornell.edu/Spring2014/punk_singer.html,,http://www.youtube.com/watch?v=fwrXC5OXqgc
Yumen,4/9/2014,5:00 PM,4/9/2014,6:05 PM,False,http://cinema.cornell.edu/Spring2014/yumen.html,,http://www.youtube.com/watch?v=JNiWVgtTBhs
People’s Park,4/9/2014,7:00 PM,4/9/2014,8:18 PM,False,http://cinema.cornell.edu/Spring2014/peoples_park.html,,http://www.youtube.com/watch?v=c1XuiiQ_Rbk
Pulp Fiction,4/9/2014,9:15 PM,4/9/2014,11:48 PM,False,http://cinema.cornell.edu/Spring2014/pulp_fiction.html,,http://www.youtube.com/watch?v=s7EdQ4FqbhY
Is the Man Who Is Tall Happy?,4/10/2014,7:30 PM,4/10/2014,8:58 PM,False,http://cinema.cornell.edu/Spring2014/is_the_man_who_is_tall_h.html,,http://www.youtube.com/watch?v=d9c4xJEP6eI
Inside Llewyn Davis,4/10/2014,9:30 PM,4/10/2014,11:15 PM,False,http://cinema.cornell.edu/Spring2014/inside_llewyn_davis.html,,http://www.youtube.com/watch?v=LFphYRyH7wc
Total Recall,4/11/2014,7:00 PM,4/11/2014,8:49 PM,False,http://cinema.cornell.edu/Spring2014/total_recall.html,,http://www.youtube.com/watch?v=WFMLGEHdIjE
Inside Llewyn Davis,4/11/2014,10:00 PM,4/11/2014,11:45 PM,False,http://cinema.cornell.edu/Spring2014/inside_llewyn_davis.html,,http://www.youtube.com/watch?v=LFphYRyH7wc
